#Time: 0.00Ma	 	#Time: 0.00Ma	#Time: 0.00Ma	#Time: 5.00Ma	#Time: 10.00Ma	#Time: 15.00Ma	#Time: 20.00Ma	#Time: 25.00Ma	#Time: 30.00Ma
> x(Km)	-w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)
 126.00	 -0.00	 0.0	 -0.00	 0.0	 122.87	 122.9	 88.28	 88.3	 76.42	 76.4	 64.88	 64.9	 53.77	 53.8	 43.24	 43.2	 35.28	 35.3
 128.00	 -0.00	 0.0	 -0.00	 0.0	 123.04	 123.0	 85.31	 85.3	 72.53	 72.5	 60.12	 60.1	 48.21	 48.2	 36.97	 37.0	 28.49	 28.5
 130.00	 -0.00	 0.0	 -0.00	 0.0	 122.84	 122.8	 81.82	 81.8	 68.08	 68.1	 54.78	 54.8	 42.04	 42.0	 30.05	 30.1	 21.04	 21.0
 132.00	 -0.00	 0.0	 -0.00	 0.0	 122.22	 122.2	 77.77	 77.8	 63.04	 63.0	 48.81	 48.8	 35.22	 35.2	 22.48	 22.5	 12.91	 12.9
 134.00	 -0.00	 0.0	 -0.00	 0.0	 121.15	 121.1	 73.14	 73.1	 57.38	 57.4	 42.20	 42.2	 27.74	 27.7	 14.20	 14.2	 4.07	 4.1
 136.00	 -0.00	 0.0	 -0.00	 0.0	 119.60	 119.6	 67.90	 67.9	 51.08	 51.1	 34.90	 34.9	 19.54	 19.5	 5.20	 5.2	 -5.51	 -5.4
 138.00	 -0.00	 0.0	 -0.00	 0.0	 117.53	 117.5	 62.00	 62.0	 44.08	 44.1	 26.90	 26.9	 10.61	 10.6	 -4.55	 -4.5	 -15.85	 -14.1
 140.00	 -0.00	 0.0	 -0.00	 0.0	 114.90	 114.9	 55.41	 55.4	 36.37	 36.4	 18.15	 18.1	 0.92	 0.9	 -15.09	 -13.7	 -27.00	 -22.2
 142.00	 -0.00	 0.0	 -0.00	 0.0	 111.69	 111.7	 48.10	 48.1	 27.91	 27.9	 8.62	 8.6	 -9.58	 -9.2	 -26.45	 -22.3	 -38.97	 -29.8
 144.00	 -0.00	 0.0	 -0.00	 0.0	 107.85	 107.9	 40.04	 40.0	 18.66	 18.7	 -1.72	 -1.7	 -20.91	 -18.7	 -38.66	 -30.5	 -51.80	 -37.0
 146.00	 -0.00	 0.0	 -0.00	 0.0	 103.34	 103.3	 31.18	 31.2	 8.59	 8.6	 -12.91	 -12.3	 -33.11	 -27.7	 -51.74	 -38.3	 -65.51	 -43.9
 148.00	 -0.00	 0.0	 -0.00	 0.0	 98.12	 98.1	 21.49	 21.5	 -2.33	 -2.3	 -24.97	 -22.3	 -46.19	 -36.4	 -65.73	 -45.8	 -80.15	 -50.7
 150.00	 -0.00	 0.0	 -0.00	 0.0	 92.14	 92.1	 10.93	 10.9	 -14.15	 -13.5	 -37.95	 -31.9	 -60.21	 -44.8	 -80.66	 -53.2	 -95.72	 -57.3
 152.00	 -0.00	 0.0	 -0.00	 0.0	 85.37	 85.4	 -0.53	 -0.5	 -26.90	 -24.2	 -51.87	 -41.3	 -75.18	 -53.0	 -96.55	 -60.3	 -112.27	 -63.7
 154.00	 -0.00	 0.0	 -0.00	 0.0	 77.77	 77.8	 -12.94	 -12.6	 -40.60	 -34.7	 -66.76	 -50.5	 -91.14	 -61.1	 -113.44	 -67.4	 -129.81	 -70.1
 156.00	 -0.00	 0.0	 -0.00	 0.0	 69.27	 69.3	 -26.32	 -24.5	 -55.31	 -45.1	 -82.67	 -59.7	 -108.12	 -69.2	 -131.36	 -74.5	 -148.38	 -76.4
 158.00	 -0.00	 0.0	 -0.00	 0.0	 59.85	 59.8	 -40.73	 -36.9	 -71.04	 -56.0	 -99.61	 -69.1	 -126.14	 -77.5	 -150.32	 -81.8	 -168.00	 -83.0
 160.00	 -0.00	 0.0	 -0.00	 0.0	 49.45	 49.5	 -56.19	 -49.8	 -87.84	 -67.2	 -117.63	 -78.9	 -145.24	 -86.0	 -170.37	 -89.2	 -188.70	 -89.7
 162.00	 -0.00	 0.0	 -0.00	 0.0	 38.03	 38.0	 -72.74	 -63.5	 -105.74	 -78.9	 -136.75	 -89.1	 -165.45	 -94.9	 -191.51	 -96.9	 -210.51	 -96.6
 164.00	 -0.00	 0.0	 -0.00	 0.0	 25.53	 25.5	 -90.42	 -78.0	 -124.77	 -91.4	 -157.01	 -99.9	 -186.79	 -104.2	 -213.79	 -105.0	 -233.44	 -103.7
 166.00	 -0.00	 0.0	 -0.00	 0.0	 11.92	 11.9	 -109.26	 -93.6	 -144.97	 -104.7	 -178.43	 -111.2	 -209.29	 -113.9	 -237.22	 -113.4	 -257.52	 -111.1
 168.00	 -0.00	 0.0	 -0.00	 0.0	 -2.86	 -2.9	 -129.30	 -109.9	 -166.36	 -118.6	 -201.04	 -123.1	 -232.97	 -124.1	 -261.83	 -122.1	 -282.77	 -118.8
 170.00	 -0.00	 0.0	 -0.00	 0.0	 -18.86	 -18.9	 -150.58	 -126.8	 -188.98	 -132.8	 -224.87	 -135.2	 -257.87	 -134.4	 -287.64	 -130.9	 -309.21	 -126.6
 172.00	 -0.00	 0.0	 -0.00	 0.0	 -36.12	 -36.1	 -173.13	 -144.6	 -212.86	 -147.8	 -249.95	 -147.9	 -284.00	 -145.2	 -314.67	 -140.0	 -336.86	 -134.6
 174.00	 -0.00	 0.0	 -0.00	 0.0	 -54.69	 -54.7	 -196.97	 -163.4	 -238.02	 -163.6	 -276.29	 -161.1	 -311.39	 -156.4	 -342.95	 -149.5	 -365.74	 -142.9
 176.00	 -0.00	 0.0	 -0.00	 0.0	 -74.62	 -74.6	 -222.15	 -183.3	 -264.50	 -180.1	 -303.94	 -175.0	 -340.05	 -168.0	 -372.48	 -159.3	 -395.88	 -151.4
 178.00	 -0.00	 0.0	 -0.00	 0.0	 -95.96	 -96.0	 -248.69	 -204.2	 -292.31	 -197.4	 -332.90	 -189.4	 -370.01	 -180.1	 -403.30	 -169.4	 -427.27	 -160.2
 180.00	 -0.00	 0.0	 -0.00	 0.0	 -118.76	 -118.8	 -276.62	 -226.2	 -321.49	 -215.6	 -363.20	 -204.5	 -401.29	 -192.6	 -435.40	 -179.8	 -459.94	 -169.2
 182.00	 -0.00	 0.0	 -0.00	 0.0	 -143.05	 -143.1	 -305.98	 -249.3	 -352.07	 -234.5	 -394.86	 -220.1	 -433.90	 -205.6	 -468.81	 -190.6	 -493.89	 -178.5
 184.00	 -0.00	 0.0	 -0.00	 0.0	 -168.89	 -168.9	 -336.78	 -273.4	 -384.05	 -254.3	 -427.90	 -236.4	 -467.86	 -219.0	 -503.54	 -201.7	 -529.15	 -188.0
 186.00	 -0.00	 0.0	 -0.00	 0.0	 -196.31	 -196.3	 -369.04	 -298.7	 -417.46	 -274.9	 -462.33	 -253.3	 -503.18	 -232.8	 -539.60	 -213.1	 -565.71	 -197.7
 188.00	 -0.00	 0.0	 -0.00	 0.0	 -225.36	 -225.4	 -402.80	 -325.2	 -452.31	 -296.4	 -498.17	 -270.7	 -539.86	 -247.1	 -577.00	 -224.8	 -603.58	 -207.7
 190.00	 -0.00	 0.0	 -0.00	 0.0	 -256.07	 -256.1	 -438.07	 -352.8	 -488.63	 -318.7	 -535.43	 -288.9	 -577.93	 -261.9	 -615.74	 -236.8	 -642.77	 -217.9
 192.00	 -0.00	 0.0	 -0.00	 0.0	 -288.49	 -288.5	 -474.87	 -381.6	 -526.43	 -341.8	 -574.11	 -307.6	 -617.38	 -277.1	 -655.82	 -249.1	 -683.28	 -228.3
 194.00	 -0.00	 0.0	 -0.00	 0.0	 -322.64	 -322.6	 -513.21	 -411.5	 -565.71	 -365.9	 -614.23	 -326.9	 -658.21	 -292.7	 -697.26	 -261.7	 -725.11	 -238.9
 196.00	 -0.00	 0.0	 -0.00	 0.0	 -358.56	 -358.6	 -553.10	 -442.7	 -606.48	 -390.7	 -655.78	 -346.9	 -700.44	 -308.7	 -740.03	 -274.6	 -768.25	 -249.8
 198.00	 -0.00	 0.0	 -0.00	 0.0	 -396.28	 -396.3	 -594.56	 -475.0	 -648.75	 -416.5	 -698.77	 -367.5	 -744.04	 -325.2	 -784.14	 -287.8	 -812.69	 -260.9
 200.00	 -0.00	 0.0	 -0.00	 0.0	 -435.81	 -435.8	 -637.58	 -508.5	 -692.51	 -443.1	 -743.20	 -388.6	 -789.03	 -342.1	 -829.59	 -301.3	 -858.43	 -272.1
 202.00	 -0.00	 0.0	 -0.00	 0.0	 -477.19	 -477.2	 -682.17	 -543.2	 -737.77	 -470.6	 -789.06	 -410.4	 -835.39	 -359.4	 -876.36	 -315.1	 -905.46	 -283.6
 204.00	 -0.00	 0.0	 -0.00	 0.0	 -520.41	 -520.4	 -728.32	 -579.1	 -784.52	 -498.9	 -836.33	 -432.8	 -883.11	 -377.1	 -924.43	 -329.1	 -953.76	 -295.2
 206.00	 -0.00	 0.0	 -0.00	 0.0	 -565.50	 -565.5	 -776.03	 -616.2	 -832.74	 -528.0	 -885.01	 -455.8	 -932.17	 -395.3	 -973.79	 -343.4	 -1003.31	 -307.0
 208.00	 -0.00	 0.0	 -0.00	 0.0	 -612.46	 -612.5	 -825.29	 -654.4	 -882.43	 -558.0	 -935.08	 -479.3	 -982.56	 -413.8	 -1024.42	 -357.9	 -1054.08	 -319.0
 210.00	 -0.00	 0.0	 -0.00	 0.0	 -661.28	 -661.3	 -876.08	 -693.9	 -933.57	 -588.8	 -986.52	 -503.5	 -1034.25	 -432.6	 -1076.30	 -372.7	 -1106.06	 -331.1
 212.00	 -0.00	 0.0	 -0.00	 0.0	 -711.97	 -712.0	 -928.38	 -735.4	 -986.13	 -621.2	 -1039.31	 -528.7	 -1087.21	 -452.3	 -1129.38	 -388.1	 -1159.22	 -343.7
 214.00	 -0.00	 0.0	 -0.00	 0.0	 -764.50	 -764.5	 -982.16	 -783.9	 -1040.07	 -658.9	 -1093.40	 -558.0	 -1141.41	 -475.1	 -1183.65	 -405.8	 -1213.50	 -358.1
 216.00	 -0.00	 0.0	 -0.00	 0.0	 -818.85	 -818.8	 -1037.40	 -837.4	 -1095.38	 -702.3	 -1148.77	 -591.6	 -1196.81	 -501.2	 -1239.05	 -425.9	 -1268.89	 -374.5
 218.00	 -0.00	 0.0	 -0.00	 0.0	 -874.99	 -875.0	 -1094.05	 -894.0	 -1152.01	 -753.0	 -1205.38	 -630.8	 -1253.38	 -531.5	 -1295.56	 -449.3	 -1325.34	 -393.5
 220.00	 -0.00	 0.0	 -0.00	 0.0	 -932.90	 -932.9	 -1152.06	 -952.1	 -1209.92	 -809.9	 -1263.18	 -675.2	 -1311.06	 -565.7	 -1353.12	 -475.7	 -1382.79	 -414.9
 222.00	 -0.00	 0.0	 -0.00	 0.0	 -992.51	 -992.5	 -1211.40	 -1011.4	 -1269.05	 -869.1	 -1322.12	 -725.4	 -1369.81	 -604.4	 -1411.68	 -505.4	 -1441.20	 -439.0
 224.00	 -0.00	 0.0	 -0.00	 0.0	 -1053.77	 -1053.8	 -1272.00	 -1072.0	 -1329.35	 -929.3	 -1382.14	 -782.1	 -1429.57	 -648.0	 -1471.18	 -539.0	 -1500.51	 -466.1
 226.00	 -0.00	 0.0	 -0.00	 0.0	 -1116.61	 -1116.6	 -1333.79	 -1133.8	 -1390.75	 -990.7	 -1443.17	 -843.2	 -1490.26	 -697.3	 -1531.57	 -576.8	 -1560.65	 -496.7
