#Time: 0.00Ma	 	#Time: 0.00Ma	#Time: 0.00Ma
> x(Km)	-w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)
 36.00	 -0.00	 0.0	 -0.00	 0.0	 -527.83	 -527.8
 36.20	 -0.00	 0.0	 -0.00	 0.0	 -514.65	 -514.7
 36.40	 -0.00	 0.0	 -0.00	 0.0	 -501.60	 -501.6
 36.60	 -0.00	 0.0	 -0.00	 0.0	 -488.68	 -488.7
 36.80	 -0.00	 0.0	 -0.00	 0.0	 -475.89	 -475.9
 37.00	 -0.00	 0.0	 -0.00	 0.0	 -463.23	 -463.2
 37.20	 -0.00	 0.0	 -0.00	 0.0	 -450.70	 -450.7
 37.40	 -0.00	 0.0	 -0.00	 0.0	 -438.30	 -438.3
 37.60	 -0.00	 0.0	 -0.00	 0.0	 -426.02	 -426.0
 37.80	 -0.00	 0.0	 -0.00	 0.0	 -413.87	 -413.9
 38.00	 -0.00	 0.0	 -0.00	 0.0	 -401.84	 -401.8
 38.20	 -0.00	 0.0	 -0.00	 0.0	 -389.95	 -389.9
 38.40	 -0.00	 0.0	 -0.00	 0.0	 -378.17	 -378.2
 38.60	 -0.00	 0.0	 -0.00	 0.0	 -366.52	 -366.5
 38.80	 -0.00	 0.0	 -0.00	 0.0	 -355.00	 -355.0
 39.00	 -0.00	 0.0	 -0.00	 0.0	 -343.60	 -343.6
 39.20	 -0.00	 0.0	 -0.00	 0.0	 -332.32	 -332.3
 39.40	 -0.00	 0.0	 -0.00	 0.0	 -321.16	 -321.2
 39.60	 -0.00	 0.0	 -0.00	 0.0	 -310.12	 -310.1
 39.80	 -0.00	 0.0	 -0.00	 0.0	 -299.21	 -299.2
 40.00	 -0.00	 0.0	 -0.00	 0.0	 -288.41	 -288.4
 40.20	 -0.00	 0.0	 -0.00	 0.0	 -277.74	 -277.7
 40.40	 -0.00	 0.0	 -0.00	 0.0	 -267.18	 -267.2
 40.60	 -0.00	 0.0	 -0.00	 0.0	 -256.74	 -256.7
 40.80	 -0.00	 0.0	 -0.00	 0.0	 -246.42	 -246.4
 41.00	 -0.00	 0.0	 -0.00	 0.0	 -236.21	 -236.2
 41.20	 -0.00	 0.0	 -0.00	 0.0	 -226.12	 -226.1
 41.40	 -0.00	 0.0	 -0.00	 0.0	 -216.15	 -216.2
 41.60	 -0.00	 0.0	 -0.00	 0.0	 -206.29	 -206.3
 41.80	 -0.00	 0.0	 -0.00	 0.0	 -196.55	 -196.5
 42.00	 -0.00	 0.0	 -0.00	 0.0	 -186.92	 -186.9
 42.20	 -0.00	 0.0	 -0.00	 0.0	 -177.40	 -177.4
 42.40	 -0.00	 0.0	 -0.00	 0.0	 -168.00	 -168.0
 42.60	 -0.00	 0.0	 -0.00	 0.0	 -158.70	 -158.7
 42.80	 -0.00	 0.0	 -0.00	 0.0	 -149.52	 -149.5
 43.00	 -0.00	 0.0	 -0.00	 0.0	 -140.45	 -140.5
 43.20	 -0.00	 0.0	 -0.00	 0.0	 -131.49	 -131.5
 43.40	 -0.00	 0.0	 -0.00	 0.0	 -122.64	 -122.6
 43.60	 -0.00	 0.0	 -0.00	 0.0	 -113.89	 -113.9
 43.80	 -0.00	 0.0	 -0.00	 0.0	 -105.25	 -105.3
 44.00	 -0.00	 0.0	 -0.00	 0.0	 -96.72	 -96.7
 44.20	 -0.00	 0.0	 -0.00	 0.0	 -88.30	 -88.3
 44.40	 -0.00	 0.0	 -0.00	 0.0	 -79.98	 -80.0
 44.60	 -0.00	 0.0	 -0.00	 0.0	 -71.77	 -71.8
 44.80	 -0.00	 0.0	 -0.00	 0.0	 -63.66	 -63.7
 45.00	 -0.00	 0.0	 -0.00	 0.0	 -55.66	 -55.7
 45.20	 -0.00	 0.0	 -0.00	 0.0	 -47.76	 -47.8
 45.40	 -0.00	 0.0	 -0.00	 0.0	 -39.96	 -40.0
 45.60	 -0.00	 0.0	 -0.00	 0.0	 -32.26	 -32.3
 45.80	 -0.00	 0.0	 -0.00	 0.0	 -24.67	 -24.7
 46.00	 -0.00	 0.0	 -0.00	 0.0	 -17.17	 -17.2
 46.20	 -0.00	 0.0	 -0.00	 0.0	 -9.78	 -9.8
 46.40	 -0.00	 0.0	 -0.00	 0.0	 -2.48	 -2.5
 46.60	 -0.00	 0.0	 -0.00	 0.0	 4.72	 4.7
 46.80	 -0.00	 0.0	 -0.00	 0.0	 11.82	 11.8
 47.00	 -0.00	 0.0	 -0.00	 0.0	 18.82	 18.8
 47.20	 -0.00	 0.0	 -0.00	 0.0	 25.73	 25.7
 47.40	 -0.00	 0.0	 -0.00	 0.0	 32.54	 32.5
 47.60	 -0.00	 0.0	 -0.00	 0.0	 39.26	 39.3
 47.80	 -0.00	 0.0	 -0.00	 0.0	 45.88	 45.9
 48.00	 -0.00	 0.0	 -0.00	 0.0	 52.41	 52.4
 48.20	 -0.00	 0.0	 -0.00	 0.0	 58.84	 58.8
 48.40	 -0.00	 0.0	 -0.00	 0.0	 65.18	 65.2
 48.60	 -0.00	 0.0	 -0.00	 0.0	 71.43	 71.4
 48.80	 -0.00	 0.0	 -0.00	 0.0	 77.59	 77.6
 49.00	 -0.00	 0.0	 -0.00	 0.0	 83.66	 83.7
 49.20	 -0.00	 0.0	 -0.00	 0.0	 89.64	 89.6
 49.40	 -0.00	 0.0	 -0.00	 0.0	 95.53	 95.5
 49.60	 -0.00	 0.0	 -0.00	 0.0	 101.33	 101.3
 49.80	 -0.00	 0.0	 -0.00	 0.0	 107.05	 107.0
 50.00	 -0.00	 0.0	 -0.00	 0.0	 112.68	 112.7
 50.20	 -0.00	 0.0	 -0.00	 0.0	 118.22	 118.2
 50.40	 -0.00	 0.0	 -0.00	 0.0	 123.67	 123.7
 50.60	 -0.00	 0.0	 -0.00	 0.0	 129.04	 129.0
 50.80	 -0.00	 0.0	 -0.00	 0.0	 134.32	 134.3
 51.00	 -0.00	 0.0	 -0.00	 0.0	 139.53	 139.5
 51.20	 -0.00	 0.0	 -0.00	 0.0	 144.64	 144.6
 51.40	 -0.00	 0.0	 -0.00	 0.0	 149.68	 149.7
 51.60	 -0.00	 0.0	 -0.00	 0.0	 154.63	 154.6
 51.80	 -0.00	 0.0	 -0.00	 0.0	 159.51	 159.5
 52.00	 -0.00	 0.0	 -0.00	 0.0	 164.30	 164.3
 52.20	 -0.00	 0.0	 -0.00	 0.0	 169.01	 169.0
 52.40	 -0.00	 0.0	 -0.00	 0.0	 173.64	 173.6
 52.60	 -0.00	 0.0	 -0.00	 0.0	 178.20	 178.2
 52.80	 -0.00	 0.0	 -0.00	 0.0	 182.67	 182.7
 53.00	 -0.00	 0.0	 -0.00	 0.0	 187.07	 187.1
 53.20	 -0.00	 0.0	 -0.00	 0.0	 191.39	 191.4
 53.40	 -0.00	 0.0	 -0.00	 0.0	 195.64	 195.6
 53.60	 -0.00	 0.0	 -0.00	 0.0	 199.81	 199.8
 53.80	 -0.00	 0.0	 -0.00	 0.0	 203.91	 203.9
 54.00	 -0.00	 0.0	 -0.00	 0.0	 207.93	 207.9
 54.20	 -0.00	 0.0	 -0.00	 0.0	 211.88	 211.9
 54.40	 -0.00	 0.0	 -0.00	 0.0	 215.75	 215.8
 54.60	 -0.00	 0.0	 -0.00	 0.0	 219.56	 219.6
 54.80	 -0.00	 0.0	 -0.00	 0.0	 223.29	 223.3
 55.00	 -0.00	 0.0	 -0.00	 0.0	 226.95	 226.9
 55.20	 -0.00	 0.0	 -0.00	 0.0	 230.54	 230.5
 55.40	 -0.00	 0.0	 -0.00	 0.0	 234.06	 234.1
 55.60	 -0.00	 0.0	 -0.00	 0.0	 237.51	 237.5
 55.80	 -0.00	 0.0	 -0.00	 0.0	 240.89	 240.9
 56.00	 -0.00	 0.0	 -0.00	 0.0	 244.21	 244.2
 56.20	 -0.00	 0.0	 -0.00	 0.0	 247.46	 247.5
 56.40	 -0.00	 0.0	 -0.00	 0.0	 250.64	 250.6
 56.60	 -0.00	 0.0	 -0.00	 0.0	 253.75	 253.8
 56.80	 -0.00	 0.0	 -0.00	 0.0	 256.80	 256.8
 57.00	 -0.00	 0.0	 -0.00	 0.0	 259.78	 259.8
 57.20	 -0.00	 0.0	 -0.00	 0.0	 262.70	 262.7
 57.40	 -0.00	 0.0	 -0.00	 0.0	 265.56	 265.6
 57.60	 -0.00	 0.0	 -0.00	 0.0	 268.35	 268.4
 57.80	 -0.00	 0.0	 -0.00	 0.0	 271.09	 271.1
 58.00	 -0.00	 0.0	 -0.00	 0.0	 273.75	 273.8
 58.20	 -0.00	 0.0	 -0.00	 0.0	 276.36	 276.4
 58.40	 -0.00	 0.0	 -0.00	 0.0	 278.91	 278.9
 58.60	 -0.00	 0.0	 -0.00	 0.0	 281.40	 281.4
 58.80	 -0.00	 0.0	 -0.00	 0.0	 283.82	 283.8
 59.00	 -0.00	 0.0	 -0.00	 0.0	 286.19	 286.2
 59.20	 -0.00	 0.0	 -0.00	 0.0	 288.50	 288.5
 59.40	 -0.00	 0.0	 -0.00	 0.0	 290.76	 290.8
 59.60	 -0.00	 0.0	 -0.00	 0.0	 292.95	 293.0
 59.80	 -0.00	 0.0	 -0.00	 0.0	 295.09	 295.1
 60.00	 -0.00	 0.0	 -0.00	 0.0	 297.17	 297.2
 60.20	 -0.00	 0.0	 -0.00	 0.0	 299.20	 299.2
 60.40	 -0.00	 0.0	 -0.00	 0.0	 301.17	 301.2
 60.60	 -0.00	 0.0	 -0.00	 0.0	 303.09	 303.1
 60.80	 -0.00	 0.0	 -0.00	 0.0	 304.95	 305.0
 61.00	 -0.00	 0.0	 -0.00	 0.0	 306.76	 306.8
 61.20	 -0.00	 0.0	 -0.00	 0.0	 308.52	 308.5
 61.40	 -0.00	 0.0	 -0.00	 0.0	 310.22	 310.2
 61.60	 -0.00	 0.0	 -0.00	 0.0	 311.88	 311.9
 61.80	 -0.00	 0.0	 -0.00	 0.0	 313.48	 313.5
 62.00	 -0.00	 0.0	 -0.00	 0.0	 315.03	 315.0
 62.20	 -0.00	 0.0	 -0.00	 0.0	 316.54	 316.5
 62.40	 -0.00	 0.0	 -0.00	 0.0	 317.99	 318.0
 62.60	 -0.00	 0.0	 -0.00	 0.0	 319.39	 319.4
 62.80	 -0.00	 0.0	 -0.00	 0.0	 320.75	 320.7
 63.00	 -0.00	 0.0	 -0.00	 0.0	 322.06	 322.1
 63.20	 -0.00	 0.0	 -0.00	 0.0	 323.32	 323.3
 63.40	 -0.00	 0.0	 -0.00	 0.0	 324.53	 324.5
 63.60	 -0.00	 0.0	 -0.00	 0.0	 325.70	 325.7
 63.80	 -0.00	 0.0	 -0.00	 0.0	 326.82	 326.8
 64.00	 -0.00	 0.0	 -0.00	 0.0	 327.90	 327.9
 64.20	 -0.00	 0.0	 -0.00	 0.0	 328.93	 328.9
 64.40	 -0.00	 0.0	 -0.00	 0.0	 329.92	 329.9
 64.60	 -0.00	 0.0	 -0.00	 0.0	 330.86	 330.9
 64.80	 -0.00	 0.0	 -0.00	 0.0	 331.76	 331.8
 65.00	 -0.00	 0.0	 -0.00	 0.0	 332.62	 332.6
 65.20	 -0.00	 0.0	 -0.00	 0.0	 333.43	 333.4
 65.40	 -0.00	 0.0	 -0.00	 0.0	 334.21	 334.2
 65.60	 -0.00	 0.0	 -0.00	 0.0	 334.94	 334.9
 65.80	 -0.00	 0.0	 -0.00	 0.0	 335.63	 335.6
 66.00	 -0.00	 0.0	 -0.00	 0.0	 336.28	 336.3
 66.20	 -0.00	 0.0	 -0.00	 0.0	 336.89	 336.9
 66.40	 -0.00	 0.0	 -0.00	 0.0	 337.47	 337.5
 66.60	 -0.00	 0.0	 -0.00	 0.0	 338.00	 338.0
 66.80	 -0.00	 0.0	 -0.00	 0.0	 338.49	 338.5
 67.00	 -0.00	 0.0	 -0.00	 0.0	 338.95	 339.0
 67.20	 -0.00	 0.0	 -0.00	 0.0	 339.37	 339.4
 67.40	 -0.00	 0.0	 -0.00	 0.0	 339.76	 339.8
 67.60	 -0.00	 0.0	 -0.00	 0.0	 340.10	 340.1
 67.80	 -0.00	 0.0	 -0.00	 0.0	 340.41	 340.4
 68.00	 -0.00	 0.0	 -0.00	 0.0	 340.69	 340.7
 68.20	 -0.00	 0.0	 -0.00	 0.0	 340.93	 340.9
 68.40	 -0.00	 0.0	 -0.00	 0.0	 341.13	 341.1
 68.60	 -0.00	 0.0	 -0.00	 0.0	 341.30	 341.3
 68.80	 -0.00	 0.0	 -0.00	 0.0	 341.44	 341.4
 69.00	 -0.00	 0.0	 -0.00	 0.0	 341.55	 341.5
 69.20	 -0.00	 0.0	 -0.00	 0.0	 341.62	 341.6
 69.40	 -0.00	 0.0	 -0.00	 0.0	 341.66	 341.7
 69.60	 -0.00	 0.0	 -0.00	 0.0	 341.66	 341.7
